S. No.,text,task_1
70,অধমে কেৱল দোষহে দেখে এইটো এটা মহা অধম ৷,HOF
71,পইচা চোবৰ দৰকাৰ হোই... টাৰ মানে এ২ নহোই জে... ফোন পে নম্বৰ। তু ডি টোকা খুজিবো... এনডি মুখ্য আৰএছএন হৈছে যে নিজৰ চেল্ফ ৰেচপিচিটি টু অ'লপ থোবো এলজিই...।,NOT
72,বান্দোৰী জোনি দেখিবোলে ইমান বেয়া। আইজোনি মেকআপ নোকোৰা কে ইমান বেয়া দেখিবোলে,HOF
73,নিজে হিন্দু ধৰ্মৰ হলো বুলিয়ে যে বেয়া তো ও ভাল বুলি কম তেনেকুৱা মই নহয় আৰু ভালকৈ নজনাকৈ বেলেগৰ ধৰ্ম সমালোচনাও নকৰো।,NOT
74,ভুখণ্ডৰ আৱৰযনা এই আৱৰযনায় গোটেই নাৰী সমাজক কলংকিত কৰি আছে ।,HOF
75,ৎচিত বস্তু বিলাক এখেত সকলৰ বেছি প্ৰিয়।,HOF
76,টিমআৰ ভাল আচে পোগোলা মেণ্টেল,HOF
77,সেই কাৰনেই মিয়াৰ লগত আহি যায় কাপুৰুষ নপুংসক নিলাজৰ দৰে উল্টা পাল্টা মন্তব্য কৰি থাকা,HOF
78,দাদা আপুনি জুই,NOT
79,এইটো নাভি ফেচন হয় !!,NOT
80,বাতৰি দিয়া পৰটেল নিউজ দাতা সবে তাৰ পাছত কি হল সেই টো নেদেখালেজে কি পাল টু নিউজ দিয়ে।,NOT
81,গানত-জুবিন,NOT
82,আৰু  আমি recharge ভৰাও তহতৰ ভিডিঅ'বোৰ  YouTube ত চাবলৈ আৰু কি তহতক birthday party কৰিবলৈ আমিয়েই পইচা দিব লাগে নেকি কেলা কাম নাই 😡😡😡,HOF
83,কাৰণ প্ৰতিজন প্ৰাৰ্থীয়েই বিজেপিৰ বাবে মূল্যবান আৰু প্ৰতিজনৰ বাবে বিজেপিৰ শদিয়াৰ পৰা ধুবুৰীলৈ লাখ লাখ কেদাৰে যুঁজ দিব।,HOF
84,কথাত কোনেও হেৰুৱাব নোৱাৰে হেমন্ত বিশ্ব শৰ্মা ক । কথা চহকী। ৰাইজৰ আৰু ৰাজ্যৰ উন্নয়ন zero।,HOF
85,ই হৈছে আমৰ সভ্য সমজৰ যুবক যুবতী/ডেকা/গাভৰুক লজ্জিত কৰা হৈছে।,NOT
86,অসমৰ মানুহেই চিনি নাপায় বাহিৰৰ মানুহে আৰু চাবনে?,NOT
87,অসমীয়া ভাষা সাহিত্যৰ ইতিহাস জানা নেকি আবুল তাবুল নবকিবি।,HOF
88,প্ৰকৃত মুছলমানে দেশৰ লগত গাদ্দাৰী নকৰে কেতিয়াও। দেশৰ লগত গাদ্দাৰী কৰা মুছলমান মুছলমান নহয়। তেনেকুৱা মানুহ মুনাফিক।,HOF
89,ভাল ব্যৱহাৰ কৰি কাম কৰি খালে সমাজে নিশ্চয়কৈয়ে আদৰি লব,HOF
90,গুৰুত্বপূৰ্ণ কথাত আলোচনা নকৰি বাৰে ভচহু কথা পতাত আপোনালোকে কেতিয়াবাই পি এইচ ডি কৰিছে।,NOT
91,আৰু নকম কিয় বাল কৰিব,HOF
92,পশ্চিমবংগৰ পৰাও মিঞাই খেদিছে ৷ ভয়তে চৰণীয়া পথাৰত আহি দম যে ৷,HOF
93,কামটো কৰিব কেতিয়া ?,NOT
94,যিয়েই নহক আমবাৰীত এটা নতুন বিবাহভৱন হোৱাতো একেবাৰে খাটাং,NOT
95,হিমন্ত) ইয়াক কেলা মাৰিদিব পৰা হলে বহুত শান্তী হল হেতেন,HOF
96,উচিত কথা । সমালোচনা কৰিব লাগে বুলিয়েই কিছোমানে সমালোচনা কৰে ।,NOT
97,চৰ দুটা মান খাই নেকি তাই সোধক চোন,HOF
98,মাকক চুদাটোৰ পকৰত ভলোকা বাহ ভৰাই দিব লাগে।,HOF
99,এফালে মুছলমানক ধ্বংস কৰিব আৰু আনফালে মুছলমানক গুন ঘাই আছে। সেইটো হ'ল ৰাজনৈতিক,HOF
100,সকলো যৌণ উৎপীড়ীত হলেই অসৎকায্য লিপ্ত হব পাৰে যিকোনো সময়তে ।,HOF
101,আমাক যুদ্ধ লাগে,HOF
102,কুকুৰৰ পোৱালি কেইটাক কৰায়ত্ত কৰি ফাছি দিব লাগে,HOF
103,আমি লেতেৰা নহয়।,NOT
104,শৃংখল চলিহাই অসমৰ অসমীয়া বঙালী কথা কোৱা নাছিল,NOT
105,তুৰ স্তৰৰ বেচি ভিডিঅ' বোনাউ বুলিয়ে ওলোপ বেচি কোৰো টুক আনচাবস্ক্ৰাইব কোৰি দিৱ,HOF
106,"এতিয়াৰ পৰা ভাল তেল মৰা আৰম্ভ কৰি দিয়ক, অলপ দামী বিদেশৰ পৰা লৈ আহিব লাগিব, অসমৰ তেলে কাম নিদিব",HOF
107,আছল কথা একেবাৰতে নকৈ কিয় একে কথাকে গৰুৱে ঘাঁহ পাগুলা দৰে পাগুলি থাকে আৰুতো বাতৰি চাব লাগিব,NOT
108,আৰু অলপ খুলি দিব পাৰিব,HOF
109,জলাই দিয়া জনক ধন্যবাদ জনাইছো,NOT
110,"চৰাই মৰে ৰৈ, মানুহ মৰে কৈ",NOT
111,"আপোনৰ লগত কাৰো ব্যক্তিগত শত্রুতা নাই কিন্ত আপত্তি  ৰ মুল কাৰণ এই বিল খন,,",NOT
112,কাটি পেলাব বোলে,HOF
113,মোৰ মোবাইলত ৰিচাৰ্চ নাছিলে তোমাৰ videos চাবলৈ মই ঘৰত কণী পাৰি থকা হাঁহ জনীকে বিক্ৰী কৰি ৰিচাৰ্ছ ভৰাই দিলো।,NOT
114,গা আখান দুখান লাগি গেছি তন্ধোৰ তাকে শুনি!?!!,NOT
115,এইবিলাকক কোবাব লাগে আমাৰ অসমৰ হিন্দু এনেকোৱা হব নোৱাৰে,HOF
116,এওলোক আগত তোৰ‌ একো অকাদ নায়।,HOF
117,নিউজ চেনেলটোৱেও পৰিবেশন কৰিবলৈ বাতৰি বিছাৰি নাপালে।,NOT
118,আমাৰো ঘৰত ছোৱালী আছে ।আমি ন দি ক'ব পাৰো আমাৰ ছোৱালী মুছলমানলৈ নাযায় ।,HOF
119,হেৰি বৰা ডাঙৰীয়া হেই ১ মিনিতটাে কেতিয়া আহিবনাে শ্বাৰ্থপৰ নিলাজ সকল ক্ষমতাৰ লােভত পৰি দেশ জাতি মাতি দলৰ পতিশ্ৰুতি সকলাে পাহৰি ইমান সুৱৰ্ণ সুজুগ হেৰুৱালে।,HOF
120,এইবিলাক ৰ   লগত এনেকুৱাই হব,HOF
121,নিজৰ গুপ্তাংগটোকে কাটি এটা ভাল নিউজ‌ নকৰেনো কিয়।,HOF
122,হৰি নাম লব লাগে পাৰিলে এইটো বয়সত আপুনি,NOT
123,একো ভাল নিউজ নায় ।,HOF
124,ইয়াক ফাচি দি'ব লাগে,HOF
125,ই নিঘাট পাগল হল,HOF
126,বহুত..বহুত ভাল লাগে আপোনাৰ অভিন‌য়।,NOT
127,লোকে বিয়া পাতিয়ো বোৱাৰী মাথা মাৰি আছে ।।,HOF
128,"কেনেকোই চণ্ডো মিলাই মিলাই ৰোষ্ট কোৰা ৰে, মণিচু আৰু দেই",HOF
129,যাত্ৰা পাৰ্তি চলিছে নেকি কাম নাই আৰু,HOF
130,সেইবাবেই ভক্তসকলে দিল্লীৰ স্কুলত জুই লগাই দিছিল চাগৈ।,HOF
131,কুকুৰৰ পোৱালিক ফাঁচি দিব লাগে,HOF
132,গেদাই লগত লাইন মাৰিছিলি যে তই তোক নেনিলা নিকিন তোক তেতিয়া গেদা হে গেদা,HOF
133,"ডাঙৰ মানুহৰ চৰ্দি কাহ হ'লে কেনে দেখি এবাৰ বাতৰিত দেখাবচোন, আগতে কোনেও দেখুওৱা নাই।",NOT
134,তহঁতৰ এইবোৰ নাটক চাবলৈ আমাৰ সময় নাই  এজনীয়ে কান্দি কান্দি পইচা খুজি থাকে আৰু এটাই এইবোৰ ফকতীয়া বোৰ কাৰবাৰ,HOF
135,কিয়নো অসমখন তহঁতৰ চৰণীয়া পথাৰ যে ৷ বেছি নকৰিবি ৷,HOF
136,মোৰ বহুত স্মৃতিয়ে ছবিখনৰ লগত জৰিত,NOT
137,"দেখা নিপন দা,,, মুছলিম ছোৱালী বোৰ নিজকে লৈ সংযত , ",HOF
138,এই গেদা কবি সকলক অতি শীঘ্ৰে পাকিস্তান সীমান্তত লাট মাৰি থৈ আহিব লাগে,HOF
139,"গুৱাহাটী চহৰৰ যেনেকৈ কিছুমান ঠাইৰ কেৱল নামটো থাকিল বস্তুবোৰ নাই. যেনে "" জুৰি পাৰৰ"" জুৰি বা ""নিজৰা পাৰৰ"" নিজৰা ",HOF
140,আমি ঘড়ী হাতত হে দিওঁ তেওঁৰ নিচিনা অভদ্রামী নকৰো।,HOF
141,ঘটিটো,HOF
142,জনাব এর বাংলা অনুবাদ বলে দিলে উপকৃত হতাম,NOT
143,ঠিকেই আছে দিয়া এসময়ত বিগ বছ ঘৰত বিখ্যাত হব পৰা নাছিল,HOF
144,চৰকাৰে এই বিলাক নেদেখ নেকি,NOT
145,"কোনো দৰকাৰ নাই কল্পনা কৰাৰ,, ",NOT
146,"অভিনয় জগত বাদ দি বেলেগ দিশতো সফল হোৱাটো বিচাৰো , ",NOT
147,ফুল ফুলিলেহে গোন্ধ ওলায় ।কথাতো সচা যেন অনুমান হয় ।,HOF
148,"তাই লিখিছিল "" এইবোৰ মৰক আমাৰ কি আহে যায়"" তাইৰ এয়ে মানৱতা নেকি , ",NOT
149,এই জনীৰ বাতৰি আৰু প্ৰচাৰ নকৰিবহে।,NOT
150,দাদা তোমাৰ ভিডিও বোৰ চাই বহুত  ভাল লাগে।,NOT
151,ইহঁতৰ নিচিনা নাৰীৰ প্ৰতি সন্মানত মুৰ দোঁ খায়গ'লে আৰু চিধা কৰিব নোৱাৰি,HOF
152,এনেকুৱা ফটো পোচ দিলো,NOT
153,নকতকী জনী ভাল লাগিল,HOF
154,তহতে নিজৰ ছোৱালীক ৰেপ কৰা ছালা,HOF
155,ই কত ইমান সাহস পালে গোপীনাথ বৰদলৈ দেবক অপমান কৰিবলৈ।,HOF
156,মানসিকতা চোৱাচোন।,NOT
157,এইজন কি মুটা মাৰি থাকিব নেকি,HOF
158,"এই খন সমাজ ইংল্যান্ড আমেৰিকা যুক্তৰাষ্ট্ৰৰ সমাজ নহয়,",NOT
159,ই পগলা হৈছে,HOF
160,অতি সোনকালে পকা দলং নিৰ্মাণ কৰি সকলো ৰাইজৰ যাতায়াতৰ সুবিধা কৰিবলৈ আহ্বান কৰিছোঁ,NOT
161,প্ৰিয় কণ্ঠশিল্পী জুবিন দা আৰু প্ৰিয় অভিনেতা যতীন দাক একেলগে দেখি বহুত ভাল লাগিল,NOT
162,এইটোক মাৰি পেলাব লাগে।,HOF
163,বাবাটো জহৰা হয়,HOF
164,সেইগিতা মুৰত মুতি দিম,HOF
165,ইহঁতক জীয়াই ৰখাই ভুল,HOF
166,"শিক্ষামন্ত্ৰীৰ কি কাম আছে,কেবল স্কুটি দিয়াৰ প্ৰলোভন দেখুৱাই ৰাজনীতি কৰিব জানে।",HOF
167,ইয়াৰ বিকৃতি ঘটিছে কিবা৷,HOF
168,ঠিক দিছা বন্ধু। ভয় নকৰিবা । সদায় লগত আছো।,HOF
169,সুন্দৰ।,NOT
170,ঘটিতো কৰিবলৈ ইংৰাজীত কথা-বাৰ্তা কৰিছে। দুয়োজনলৈ ধিক্কাৰ দিছোঁ।,HOF
171,অতি লজ্জাৰ কথা কুৰিশতিকাৰত,HOF
172,ভাৰতৰ ভোটাৰে অৰ্থনীতি বা উন্নয়নৰ কথা ভাবি ভোট নিদিয়ে।,HOF
173,নে তই মাইকেল জেকচনৰ জীয়েক?,NOT
174,আমাৰ গাঁৱৰ ভভলা ছাগলীটোয়ে পাব লাগে তাইক,HOF
175,ভিক্টৰ দাস এজন ভাল মানুহ।উচিত কথা কৈছে তেও।,NOT
176,জধা মুৰখক ইতীহাখ পৰিৱ দে,HOF
177,কেলা দিব লাগিছিলে,HOF
178,মানে HALALA কোম্পেনীত জইন কৰিলে !!!,HOF
179,সত্ৰ/নামঘৰ/মন্দিৰত ও এনে হাজাৰ হাজাৰ ঘটনা ঘটাৰ বাতৰি পোৱা গৈছে ।,HOF
180,ঐ পাগল হেই বুলি সকলোৱে গেদা নহয়,HOF
181,গেদাক কামত লোগৈয়াৰ পৰি নীতি বুজি পালে সেই কাৰণে আমি সেই সকলোকে কামত ৰাখিব না লাগে,HOF
182,ময়ূৰ   আপোনাৰ   prank  call   চাই   বহুত   ভাল   লাগে   আৰু   আপোনাৰ   prank call    মই   প্ৰয়েই   চাও    আগলৈকো   এনেবোৰ   ভিডিঅ   দি   যাব    বুলি   আশাবাদী,NOT
183,এতিয়া তোমালোকে কি বিচৰা ইহঁতক বহিস্কাৰ কৰিব পাৰিবা ইহঁতৰ ইতিহাস ওলাই চাই লোৱা।,NOT
184,টুৰে বেচি জোলন হোইজ,HOF
185,"ফটোত দেখা এনেবোৰ আপোনাৰ দৰে পৰজীৱী হিন্দুৰ সন্তান, ",HOF
186,অন্ধবিশ্বাস সমাজৰ পৰা নাইকিয়া কৰিব লাগিব,HOF
187,পিশাচেনি এই,HOF
188,মিছাকৈ সম্প্ৰচাৰ কৰিছে,HOF
189,"জীৱনৰ শেষ বিন্দু তেজ থকা লৈকে যুঁজি জাম তথাপি আমি কানামানো""জয় আই অসম""!",NOT
190,সচা মিছা হলেও নহলেও এই জনীৰ লগত নাচাজে।,NOT
191,আপুনাৰ এই লাগ বান্ধ নোহোৱা অসভ্য comment তো যদি screenshot কৰি দিও ?,NOT
192,এজনীক জনপ্ৰিয় হোৱা দেখি সকলোৱে উঠি পৰি লাগিছে,NOT
193,হাততলৈ আকৌ পূজা কৰক আমাৰ শুভেচ্ছা আছে তেওঁলৈ।,NOT
194,"ঘৰত ডেকা ডেকা লৰা ছোৱালী আছে অ, উপায় নাই বুঢ়াৰ",NOT
195,গেদা মানে তোৰ হ'ব লগা মানুহজন । তোৰ বাপেৰ গেদা তোৰ চৈধ্য পুৰুষ গেদা ।।,HOF
196,বাতৰিটো পঢ়ি খুব মজা লৈছা,NOT
197,মঞ্চত সকলোৱে ভাল গাব নোৱাৰে। পাৰ্শ্ব গীত আৰু মঞ্চৰ প্ৰদৰ্শন বেলেগ। উদিত নাৰায়নৰ দৰে কণ্ঠ শিল্পীৰো লাইভ অনুষ্ঠান ভাল নহয়।,NOT
198,মন গলে চাব পাৰিব,NOT
199,সৰু কালৰ কথা মনত পৰিল। খেলৰ নিয়ম ভংগ কৰিলে  আউট। কিন্ত  আমাৰ মন্ত্ৰীৰ খেল  চাই  চাই  নিজকে  কোনোবা পৰাধীন  দেশত  থকা যেন লাগে। অসমৰ  জ্ঞানী গুনি  মানুহ বোৰৰ মুখৰ মাত  হৰিল।,HOF
200,এই  বিলাকো কম নহয় এটা কথাকে হাতী সুৰ লগাই লগাই কথা বহলাই থাকিব কাম নাই যদি নকৰিব ।,HOF
201,ইহঁতেই গেৰুৱা দলৰ সম্পদ নেকি😠😠,NOT
202,মোৰ বোধেৰে মাধ্যমটো এটা সাংঘাতিক সমস্যা নহ‌য় । অসমীয়া মাধ্যম ইমানো দুৰ্বল নহয়,NOT
203,মিচা কথা নকব৷,NOT
204,ঐ বনৰী ৰেন্দি শিখা শৰ্মা তই বোৰ্খা পিন্ধি থাক,HOF
205,"ৰাষ্ট্ৰসংঘকে ভংগ কৰি দিব লাগে , কাম নাইকিয়া ৰাষ্ট্ৰসংঘ দুখন দেশৰ মাজত যুদ্ধ হৈই থাকিলেও ৰখাব নোৱাৰে যেতিয়া |",NOT
206,বাল তয় চিধা কুকূৰেৰ নিচিনা ভাজ লাগা,HOF
207,TRP ৰ কাৰণে জ্ঞানৰ ভৰাল অৰ্থাৎ মগজুটো কত বন্দকত দিলি ।,NOT
208,"সিহত আন্তৰাষ্ট্ৰীয নাগৰিক আৰু বঙ্শ ,জনসঙখা বঢ়াই অসমখন নিজৰ হাতলৈ আনিব।",HOF
209,যি নহওঁক অসম আৰু দিল্লীৰ মুখ্য মন্ত্ৰীৰ মাজত যে কিবা এটা সমন্ধ গঢ়ি উঠিছে,NOT
210,"এই জনিৰ মাক বাপেক আছে নে নাই নাজানো,",HOF
211,ভাই পুরাই অস্থির,NOT
212,অতি সোনকালে তদন্ত কৰি তেওক হাস্তি দিব লাগে,NOT
213,গো-মুত্ৰ খাইছা নেকি ?,HOF
214,আম আদমি পাৰ্টি যিন্দাবাদ,NOT
215,মানুহে কেনেকে এইবোৰ কৰিব পাৰে,HOF
216,মনে মনে কিবা ভাবিওঁ লাভ নাই.....অসমত খিলঞ্জীয়া আৰু ভূমিপুত্ৰ সকলতকৈ তহঁক ডাঙৰ নহয় আৰু হবও নোৱাৰ....,NOT
217,"মাজুলি বাসীয়ে কওক , সূধক চৰকাৰেসূবিধা নিদিলে তলি উদং কেইটাই দিব পাৰিব নেকি?",HOF
218,কিন্তু মুছলমানৰ মাজত এনে জঘণ্য ঘটনা আজিলৈকে ঘটা নাই ।,HOF
219,নতকী কৰি আমোয়ালে | এতিয়া ধমত মন দিয়া,NOT
220,নিজৰ ৰাজনৈতিক সুবিধা আদায়ৰ বাদে অসমৰ বিশেষ কিবা কৰিছে বুলি মোৰ মনে নধৰে।,HOF
221,অসমৰ ভকতক দিব পৰাকৈ কোনো জনৰে সামৰ্থ নাই ।,HOF
222,উপযুক্ত অফাৰ আগবঢ়াইছে ।।,NOT
223,তেহে মানিম পৰাজীৱী নহয় বুলি....,HOF
224,"ভন্টী, Shopping, Chocolates aru Travel ভাল নাপালে দেখোন জীৱনেই শেষ।",NOT
225,এয়াই হৈছে অসম তথা অসমীয়াৰ ইজনৰ আনজনৰ প্ৰতি থকা শ্ৰদ্ধা।,NOT
226,মুছলিম ছোৱালী আক হিন্দু লৈ যায়,NOT
227,চৰকাৰ পৰা আন ভাষীবোৰৰ উৎসৱ পাৰ্বননলৈ কিমান চান্দা দি থকা হয় খবৰ আছে?,HOF
228,অসমৰ বাহিৰত অসমীয়া মানুহে নাই। তাতে। আমাৰ অসমীয়া ভাষা কোনেও বুজি নাপায় ।,HOF
229,"15 লাখ টকা একাউণ্ট নোসোমালে, বান মুক্ত অসম নহল , ব্ৰহ্মপুত্ৰৰ দুয়ো পাৰে এক্সপ্ৰেছ হাইৱে নহল । এইবাৰ কি ভুৱা প্ৰতিশ্ৰুতি দিব।",HOF
230,"জয় হিন্দ , বন্দে মাতরম , ভারত মাতা কি জয়।",NOT
