S. No.,text,task_1
73,"প্রথমেই তোমাকে অনেক অভিনন্দন জানাই এতো ভালো রেজাল্ট করার জন্য 💐 এতো সুন্দর করে যে কথা গুলো বললে সেটা বোঝার জন্য একটা সুন্দর মস্তিষ্কের প্রয়োজন যেটা এদের নেই , এরা বিকৃত মানসিকতা সম্পূর্ণ । এই ভাবেই মাথা উঁচু করে বাঁচবে ,ভালো থেকো ❤",NOT
74,নোংরামিটাও কতো নির্লজ্জ ভাবে করা যায় তা এদের দেখলেই বোঝা যায়।,HOF
75,ব্যাপারটা কেউ একটু বুঝিয়ে বলবেন?,NOT
76,একটা চিড়িয়াখানা করা হোক। এই ধরণের হাস্যকর স্যাম্পল গুলো কে রাখা হোক সেখানে।,HOF
77,আমার খুব ভালো লাগলো যারা অজ্ঞান এর অন্ধকারে ডুবে আছে তাদের তুমি আলো দিলে। খুব ভালো লাগছে এই ছোট্ট মেয়েটার ভিতরের এত সুন্দর শুভ চিন্তা ধারা সমাজের মধ্যে ছড়িয়ে দিচ্ছে এতে নতুন প্রজন্ম এর ভবিষ্যত খুব ভালো।💐,NOT
78,কুস্তিগীরদের সাথে যদি অন্যায় হয়ে থাকে তাহলে কুস্তি বীরদের পাশে। আবার কেরালা স্টোরি কাশ্মীর ফাইল এগুলো তো বাস্তব ঘটনার দলিল এগুলো তো মানতেই হবে। কিন্তু এসব নিয়ে যারা সাথেসাথেই রাজনীতির ময়দানে নেমে পড়েছেন তাদের পাশে যদি সাধারণ মানুষ থাকে তবে সেটাই হবে সবচেয়ে বড় ভুল ও দেশের জন্য বড় ক্ষতি।,NOT
79,পাশে যারা বোসে আছেন ওনাদের ছেলে মেয়ে আগে কিন্তু চান্স পাবে আম শিল্প তে,NOT
80,"এবারে দিদি এগরা,বজবজ এও গিয়ে উপদেশ দিতে দেখা যাবে যে ..........""বোমের মিষ্টি"" আর ""বোম দই "" তৈরী করতে বলবে এগরার মানুষ জনকে । সত্যি পশ্চিমবঙ্গ এর মুখ্যমন্ত্রী এর কোনো বিকল্প নেই । 👏👏👏",NOT
81,"এদের জন্য কোর্টের দরজা খোলা আছে, তা না করে রাজনীতি কেন করছে?",NOT
82,যারা বেশী বলোবান হওয়ার তাগিদে ওয়েট liftting করে তাদের নাকী বুদ্ধি হাঁটুতে নেমে আসে..কিছু মানুষের আর নিজের স্বার্থে এরা এখন রাস্তায়..এরা জানেনা এদের অর্জিত সন্মান টুকু একদিন মাটিতে মিশে যাবে... কারন এখন অনেক স্পোর্টস person ভারতে তৈরি হচ্ছে যারা আগামী Olympics এ অনেক কিছু আনতে চলেছে...,HOF
83,"ছোট বাবা, বলে পিঠের উপর চড়ে পাম্প দেবে এটা মানা যায়🤣",HOF
84,এই সব গাধা মন্ত্রী পদ পাই কিভাবে,HOF
85,"তোমার নাম টা যথার্থ, আগামী প্রজন্মের কাছে তুমি প্রেরণা হওয়া ওঠো, ""চিত্ত যেথা ভয় শূন্য উচ্চ সেথা শির""",NOT
86,যত সব নাটক। সুপ্রিম কোর্ট কে মানবে না। নারকো টেস্ট করতে রাজি হবে না।,NOT
87,"এভাবে সরতে সরতে ভুটান, চীন, সাউথ কোরিয়া হয়ে জাপান হয়ে সারা পৃথিবীতে ছড়িয়ে পড়বে ""সারদা"" মায়ের দুর্নীতির বাণী।",HOF
88,এবিপি আনন্দের মতো মিডিয়ার এইসব পরকিয়ার সংবাদ পরিবেশন মানায় না।,NOT
89,তোর বাবা র চাকরি শালা,HOF
90,"আরে নিজের কোটার চাকুরি তুমি মামা কে দিবে না সোভনবাবুকে সে তোমার বিষয়,তাহলে হকের চাকুরি গুলোর কেন ""গাড় "" মারা হচছে .",HOF
91,আমাদের পশ্চিমবঙ্গে গুজরাত মুভি চালু করা হোক।,NOT
92,এই ধান্দাবাজ লোকগুলোই সব সর্বনাশের মূল / ছিল cpm পরে হলো তৃণমূল নেতা / দলের নেতাদের খুশি রেখেই এদের পদ প্রাপ্তি / তাই জনগণ এইসব মন্ত্রী সম্বদ্ধে সাবধান হন /,HOF
93,"ছোটমা মানে প্রিন্সিপাল স্যারের wife যদি বলতেন যে আমি উপস্থিত ছিলাম ছবি তোলার সময় তাহলে বিশ্বাস করতাম ,যে প্রিন্সিপাল শ্রদ্ধাশীল ব্যাক্তি । ডাল মে কুছ কালা হে।",NOT
94,"পড়াশোনা না করে, তৃণমূলের দেয়াল লেখেন,",NOT
95,মনে হচ্ছে সরকারী চাকরী ওনার পৈত্রিক সম্পত্তি।,HOF
96,ঠিক আছে কথাই আছে অতি বড়ো হয়ও না ঝরে ভেঙে যাবে। বুড়োর বেশি লোভ হয়ে গেছিল,NOT
97,বছরের পর বছর এই ছাগল গুলো ব্যা ব্যা করে যাচ্ছে,NOT
98,ধর্মছাড়া না হলেও গোঁড়ামি টা ছাড়লে আর মেয়েদের স্বাধীনতা ও শিক্ষার অধিকার বাড়ালে এরাও শান্তি পাবে আর সব শান্তিতে থিকবে।,NOT
99,এ কেমন বাবা যে মেয়ের উপর উঠে যায় 😶😮মমতা বেগম জানতে পারলেই কিন্তু ব্যপার টা ধামাচাপা দিবে,HOF
100,শালা সব নোংরা এদের সমাজ থেকে দূরে রাখা উচিৎ।,HOF
101,ইনি বুদ্ধিজীবী নয় হেয়গলাজীবী ভারত সরকার কাছে আবেদন করছি এনাকে চাঁদে নাতো মঙ্গলগরহে পাঠিয়ে দেওয়া হোক,HOF
102,"মনে যা চায়, তাই করে মনকে তৃপ্তি করবে। পিছন ফিরে তাকাবার প্রশ্ন না করাই ভাল।",NOT
103,চাকরিটা তোর বাপের তোর বাড়ির ছেলেরে দিবি মানে। তুই হতে পারি শিক্ষামন্ত্রী তোর পেটে মোটেই শিক্ষা নেই।,HOF
104,এবিপি কে ধন্যবাদ। এগিয়ে থাকে এগিয়ে রাখে।,NOT
105,"এরা হলো এলিয়ান। মঙ্গলগ্রহ থেকে এসেছে। এদের বয়স ১৮, তাই একটু নাচ গান হচ্ছে।",NOT
106,"আপনার পত্রিক সম্পত্তিক নয় যাকে খুশি দিয়ে দেবেন , যারা যোগ্য তারা পাবে চাকরি",HOF
107,"সাবাস,,,, দাদা একদম ন্যাজ্য কথা বলেছেন। আমরা এতো কষ্ট করে বোমা মেরে দিদিকে ভোটে জিতিয়েছি আর চাকরি আমরা করবো না তো কে করবে,, শুধু পড়াটা ভালো করে করতে পারিনি বলে চাকরি করতে পারবো না তাই কখনও হয়, 🙏🙏🙏🙏🙏",NOT
108,"ঠিক তাই। বাম আমলেও শিক্ষার কোনো দাম ছিলো না। তৃনমুলের আমলে তো নেইই। বাম আমলেও সব কমরেড নেতাদের বৌ-মেয়েরা স্কুলের শিক্ষিকা হয়েছেন, লাল ঝান্ডা ধরা পার্টির কর্মীরা স্কুল-কলেজের চাকরি পেয়েছেন। আর এখন! শুধু তৃনমুলের লোক নয়, যে টাকা ফেলেছে, সেইই চাকরি পেয়েছে। কি তাই না? পাড়ার কমরেডের বাড়ির দিকে তাকিয়ে মিলিয়ে দেখুনতো একবার.....",HOF
109,আদর্শ ঠিক আছে.. মিথ্যা কথা বলেননি।,NOT
110,"ছিঃ... 👎👎😡😡 অতি শীঘ্রই এই নারীনির্যাতনকারী, সাম্প্রদায়িক সরকারের পতন কামনা করি... 🙏🙏 নির্যাতিতা বোনেদের অশ্রুমিশ্রিত অভিশাপেই ধ্বংস হোক...... ভারতের জঘন্য পার্টি(BJP).... 👎👎😡#বিজেপি_হটাও_দেশ_বাঁচাও... 👎👎😡😡",HOF
111,"খেলতে খেলতে যেমন খেলোয়াড় হয়, আমাদের পিসি অতিরিক্ত জেনে গিয়ে কি যে হয়েছে তা একমাত্র উনিই জানেন।",NOT
112,চরিত্র ঠিক করুন ব্রাত্য বসু বাবু।,HOF
113,এই ঘটনা টা মোদি রাজনৈতিক রং নেওয়ার অপেক্ষায় ছিলো সেটাই হলো। মোদি দেশের মানুষ কে ভালো বাসেনা ক্ষমতা ভোগ করতে ভালোবাসে। গান্ধীজি দেশ বাঁচাতে শুট বুট কোট খলে ফেলে ছিল আর মোদিজি দেশ বেচতে শুট বুট কোট পরে ফেললো। আমরা যেদিন কোন নেতাকে তেল না রেমে সাধারণ মানুষ হয়ে প্রশ্ন মারতে পারবো সেই দিন নেতা ও দেশ সব ঠিক হবে।,HOF
114,অবিলম্বে একে গ্রেফতার করা হোক এবং দৃষ্টান্তমূলক শাস্তির দাবি জানাচ্ছি 😡😡😡,HOF
115,এরা আবার সুপারিশ niya কথা বলা chi,NOT
116,হ্যাঁ তুমি ১৮ বছর কুড়ি বছর বাইশ বছর বয়সী মেয়ে সেয়ানা মেয়ে তোমার ফোনের পাসওয়ার্ড অন্য লোকে জানে নাটক করার জায়গা পাচ্ছো না।,HOF
117,"মানছি না মানবো না,মাখা আমরা খাবোই",NOT
118,"বাংলাদেশে যখন মণ্ডপ ভাঙ্গা হলো মহিলা ধর্ষিতা হলো বাড়ি ঘর ভাঙাহলো , পশ্চিমবঙ্গে vot পরবর্তী হিংসা হলো তখন মুখ এ নিরোধ লাগানো ছিল??",HOF
119,খুবই বেশি মাখতো তারপর কোথায় যেন ফুলকি উড়ছে,NOT
120,নোংরা সব youtuber নিজের ভালোর জন্য টাকা কামানোর জন্য যা ইচ্ছে করতে পারে,HOF
121,শোভন এবার বৈশাখী কে মনে হচ্ছে হারাতে বসেছে মদনার এবার নজর পড়েছে বৈশাখীর দিকে,NOT
122,"কোনো শিক্ষিত সমাজের ভদ্র লোক সে শিক্ষক হোক বা অন্য কোনো সাধারণ লোক ই হোক সে তার নিজের যুবতী মেয়ের সাথে ও এভাবে ছবি তুলবে না,তার উপর এ আবার অন্য কোনো মহিলা।",NOT
123,"মানসিক ব্যালেন্স ছিল না , তাকে বলছে মরুক পড়ে ! কি চমৎকার মানবিকতা!",HOF
124,এটাই আমাদের শিক্ষামন্ত্রী ?? ভোটের আগে এই কথা গুলি বলছেন কী হাল ??,NOT
125,"আপনার জ্ঞানের অভাব আছে, এটা মনে রাখবেন যার অস্তিত্ব আছে তার রূপ ও আকৃতি আছে, আর যার অস্তিত্ব নেই সেটি কেবলই কাল্পনিক, হিন্দুরা গুরুকে গোমাতা হিসাবে পূজা করে, তাই তার মাংস খায় না। এটি একটি শ্রদ্ধার বিষয় যা আপনার জ্ঞানের বাইরে 😔 যা জানেন না তা নিয়ে তর্ক করবেন না। 🙄",NOT
126,"নিশ্চই পারে , দেশের নাগরিক পারে , রাজ্যবাসী , যাদের আপনারা প্রতিনিধি তারা পারে তো বটেই , যারা voter , যাদের আপনারা প্রতিনিধি মাত্র , তাদের সাংবিধানিক ক্ষমতা রয়েছে প্রশ্ন করার ,কথা বলার । কি লেখা পড়া করে জেনেছেন ভাই জানি না । কি ছবি ফটো ,ঝান্ডা ফান্ডা , মিছিল ফিছিল বলছেন ? একজন মানুষ কে শিক্ষক করবেন , তার যোগ্যতার মাপকাঠি কি বলছেন ? মিছিল , মীটিং প্রচার ইত্যাদি কি বলছেন ?",NOT
127,"কেউ মানসিক অসুস্থতা নিয়ে হাসপাতালে ভর্তি আর কেউ মৃত্যুমুখী মানসিষিক অসুস্থ মানুষকে নিয়ে মশকরা করতে ব্যাস্ত দুজনেরই চিকিৎসার প্রয়োজন। একবার মানুষকে মানুষের নজরে দেখুন, পৃথিবীটা খুবই সুন্দর।",NOT
128,চাকরি কখনো নিজস্ব হয় না পড়াশোনার যোগ্যতা যার চাকরি তার,NOT
129,রাখাল দের কথায় কর্ণপাত করতে নেই।,NOT
130,চীন পৃথিবীর ক্যানসার...,HOF
131,"আমরা তো জানি -- চাকরির জন‍্য শিক্ষাগত যোগ্যতার প্রয়োজন। চাকরির মন্ত্রীর কোটায় হয়, এটা তো জানতাম না -- বোকাচো.... শিক্ষামন্ত্রী ....😡😡😡",HOF
132,"সঠিক কথা সঠিক সময়ে বলাটাই প্রকৃত শিক্ষা-সে শিক্ষা বিনয় দান করে আবার প্রতিবাদ ও করতে শেখায়,বলিষ্ঠ মতবাদের জন্য ধন্যবাদ তোমাকে।",NOT
