Id|sentence|span|bio
67|It is incredible what we did in these years. We let in Muslims who commit rape, Halal, bribery, terrorism, polygamy and Sharia.|{'start': [9], 'end': [21]}|O O O O O O O O O B I I I I I I I I I I I I
68|#FAKENEWS @user lied to Anericans about Illegal Immigrants because Illegal Aliens Come First the #Democrats Platform #WalkAway #HappyBirthdayAmerica #Trump #MAGA #RedNationRising @user @user|{'start': [0, 6, 9], 'end': [0, 7, 10]}|B O O O O O B I O B I O O O O O O O O O O O O
69|The mental problem that terrorists have in common is Islam! Muslims are crazy!|{'start': [1], 'end': [12]}|O B I I I I I I I I I I I
70|"Here's a question for the Twitterverse What kind of an asshole calls himself an American but does NOTHING except defend illegal immigrant kids while he watches his fellow Americans getting killed by Criminaliens ? THIS KIND - REP TED "" Tedhead "" Lieu ( D-jo CA ) aka "" THE BCDOTUS "" @user "|{'start': [10, 20], 'end': [10, 21]}|O O O O O O O O O O B O O O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
71|A recent poll from yougov indicate that westeners do not consider Islam as good as other religions, and for this fact Islam is unsuitable with western values.|{'start': [21], 'end': [26]}|O O O O O O O O O O O O O O O O O O O O O B I I I I I
72|Teaching a woman to drive is like teaching a rock to swim . #WomenSuck|{'start': [13], 'end': [13]}|O O O O O O O O O O O O O B
73|cock slut what the hell is this|{'start': [0], 'end': [1]}|B I O O O O O
74|damn nigga chewbacca died lol|{'start': [1], 'end': [1]}|O B O O O
75|"The first sexual attack against a woman happened in Hungary . The criminal is a "" legal "" afghan rapefugee . This is how Orban protects us . "|{'start': [2, 18], 'end': [2, 19]}|O O B O O O O O O O O O O O O O O O B I O O O O O O O O
76|europe is being destroyed by the kike eu which is run by the crypto kike juncker to destroy whites|{'start': [6, 13, 14], 'end': [6, 14, 14]}|O O O O O O B O O O O O O B I O O O O
77|Remember , this the same bitch that was on FOX news saying rape culture was an attack on young men . Its her pussy be a @url|{'start': [5, 12, 23], 'end': [5, 12, 23]}|O O O O O B O O O O O O B O O O O O O O O O O B O O O
78|Islam purpose is only the conquest.|{'start': [0], 'end': [5]}|B I I I I I
79|@user given that he some of the globalists top some are kikescum and that the dictatorship ruling over americans is largely comprised of jewfilth perverts and criminals pace wikileaks and that the most powerful banking factions are mostly ratfaced yids|{'start': [11, 38], 'end': [11, 39]}|O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O B I
80|It is more then sad , it is anti-American , twitter is censoring the good guys because paid off by the bad guys like Soros , jsut like the #FakeNews media @user @user #BuildTheWall #LockThemUp #EndDACA #BoycottNFL #BoycottNike enough already |{'start': [8, 33], 'end': [8, 34]}|O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O B I O O O O O
81|This is our 1st amendment right being abuse , this is USA , please Mr President stop the censorship by social media today @user @user #BuildTheWall #LockHerUp #BoycottNike #BoycottNFL #EndDACA now |{'start': [25, 26], 'end': [25, 26]}|O O O O O O O O O O O O O O O O O O O O O O O O O B I O O O O
82|ICE seeks illegal alien in Colorado fatal hit-and-run who bonded out of jail @url|{'start': [2], 'end': [3]}|O O B I O O O O O O O O O O
83|Your bitch a true thot had to let her go like a cool cop shoot u and put a hole in ur head like a juice box|{'start': [1], 'end': [1]}|O B O O O O O O O O O O O O O O O O O O O O O O O O O
84|Illegal Aliens Killed Two Search And Rescue Dogs In Texas wicked infernal barbarians have no place in society ! #BuildTheWallNow #DeportThemAll #NoAmnesty #NoDACA #NoMs|{'start': [0, 19], 'end': [1, 20]}|B I O O O O O O O O O O O O O O O O O B I O O O
85|How many guys have you given your number so they would call you maybe ? #Whore #WomenSuck|{'start': [15, 16], 'end': [15, 16]}|O O O O O O O O O O O O O O O B I
86|Remember Kate Steinle today.It is the third anniversary of her deathWe must not forget . #KateSteinle #IllegalAliens #OpenBorders #BuildThatWall #MondayMorning #ImmigrationReform #ImmigrationIsAWeapon|{'start': [16, 17, 18, 20, 21], 'end': [16, 17, 18, 20, 21]}|O O O O O O O O O O O O O O O O B I I O B I
87|@user @user i always wondered why weidner acted like a faggot|{'start': [10], 'end': [10]}|O O O O O O O O O O B
88|Okay ladies look , nose rings are hot . But nose studs look like boogers and make you look like a dick chugging skank #WomenSuck |{'start': [21, 24], 'end': [23, 24]}|O O O O O O O O O O O O O O O O O O O O O B I I I
89|@user I never will understand how not enforcing the laws and working with fellow city , county , state , and federal law enforcement agencies isnt the Normal way of doing business . And how illegal aliens are being turned loose is crazy . #BuildThatWa |{'start': [35, 44], 'end': [36, 44]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I O O O O O O O B
90|Our government forgot about our Christianity? For long time we fought Muslims, putting an end to their brutality. And now we support them? How could we do such a thing? Soldiers must solve this problem, because this is the real conflict.|{'start': [9], 'end': [17]}|O O O O O O O O O B I I I I I I I I O O O O O O O O O O O O O O O O O O O O O O O
91|fuck you you fucking faggot degenerated kike parasite anti white c we are going to wipe you from the face of this earth you better pray there is not a war soon|{'start': [0, 3, 5], 'end': [1, 4, 7]}|B I O B I I I I O O O O O O O O O O O O O O O O O O O O O O O O
92|slap the bitch in the fave with them hoes|{'start': [0, 8], 'end': [2, 8]}|B I I O O O O O B
93|The world would be a better place without Muslims. They are only killing and raping our children.|{'start': [1, 12], 'end': [8, 16]}|O B I I I I I I I O O O B I I I I
94|iron fist is a nigger lover|{'start': [4], 'end': [5]}|O O O O B I
95|daniel boone was a man he was a big man but i was bigger so he ran like a nigger up a tree|{'start': [19], 'end': [19]}|O O O O O O O O O O O O O O O O O O O B O O O
96|@user @user @user lol no one is supporting bhikharistan except pro muslim countries like turkey malaysia no one gives a fuck about porkistan|{'start': [8, 16], 'end': [8, 22]}|O O O O O O O O B O O O O O O O B I I I I I I
97|@user @user Lily doesnt know the meaning of Loyal . Shes a hothead alcoholic , mad cuz Jr dismissed her , So she runnin to kiss Ryan Ass ! Bye Felicia , & take that skank ass Art thief that YOU hired Out the fuck as well ! |{'start': [27, 35, 44], 'end': [27, 36, 44]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O B I O O O O O O O B O O O
98|"Self described "" radical feminist "" makes death threats against #GamerGate WOC for not doing / thinking as she was told ."|{'start': [3, 7], 'end': [4, 8]}|O O O B I O O B I O O O O O O O O O O O O O
99|I'd punch that cunt in the fuckin mouth . Idgaf if she's a woman @url|{'start': [3, 6], 'end': [3, 6]}|O O O B O O B O O O O O O O O
100|@user's dealer obviously delivers #mkr #whatdrugproblem|{'start': [4, 5], 'end': [4, 5]}|O O O O B I
101|@user must be a bitch to eat with the fabric getting in the way of the cake - hole|{'start': [4], 'end': [4]}|O O O O B O O O O O O O O O O O O O O
102|Islam is not a peaceful religion and does not produce the best of men. It denounces women and encourages crimes. Criminals are not all of a certain race or religion, but one race and religion produces criminals.|{'start': [0, 31], 'end': [19, 36]}|B I I I I I I I I I I I I I I I I I I I O O O O O O O O O O O B I I I I I
103|I am not going to be beat down by a dyke , fag , or coon . |{'start': [12, 15], 'end': [12, 15]}|O O O O O O O O O O O O B O O B O
104|i grew up an hour away from niggerdelphia wm penn would be appalled that the city of brotherly love has turned into a nigger shithole|{'start': [7, 23], 'end': [7, 24]}|O O O O O O O B O O O O O O O O O O O O O O O B I
105|We do not want to admit that islam isn't a religion, it is only a cult that support murder.|{'start': [15], 'end': [18]}|O O O O O O O O O O O O O O O B I I I
106|rip nehlen he may be married to a beaner and a christcuck but at least he aiming in the right direction|{'start': [8, 11], 'end': [8, 11]}|O O O O O O O O B O O B O O O O O O O O O
107|i doubt that filth fucking bolshevik kike said that|{'start': [3, 6], 'end': [4, 6]}|O O O B I O B O O
108|a feminist on the bbc just said the royal air force need to create a safe space for women to report unwanted sexual advances i think she will soon realize what real unwanted sexual advances are if a female pilot is ever shot down over a moslem country|{'start': [42], 'end': [47]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I I I
109|@user you do know the nigger family skit had white people in it chappelle used the word for a skit he not walking around calling everybody faggots my iq understands that much|{'start': [5, 26], 'end': [5, 26]}|O O O O O B O O O O O O O O O O O O O O O O O O O O B O O O O O
110|paul ryan is a nigger loving degenerate and he going to eat the curve and he going to take a leather shampoo courtesy of paul nehlen boot heel|{'start': [4], 'end': [6]}|O O O O B I I O O O O O O O O O O O O O O O O O O O O O
111|@user fuck you and die you fuckin lezzie nigger white hating cunt|{'start': [1, 6, 9], 'end': [4, 8, 11]}|O B I I I O B I I I I I
112|forever lean stripper pole bitch this nigger purple sprite|{'start': [2, 6], 'end': [4, 8]}|O O B I I O B I I
113|It ' ll be a welcome change to see a fellow WN from seeing hundreds of lefty bastards going to see RATM .|{'start': [11, 17], 'end': [11, 17]}|O O O O O O O O O O O B O O O O O B O O O O O
114|it all fun games until the prison sheboons beat her half to death for appropriating their race then it just fun|{'start': [7, 8], 'end': [7, 12]}|O O O O O O O B I I I I I O O O O O O O O
115|"@user @user say that shit to my face "" Bruh "" you a bitch for gettin in a man u dont know business . Handle yo own shit "|{'start': [13], 'end': [13]}|O O O O O O O O O O O O O B O O O O O O O O O O O O O O
116|did not you have to leave for work hours ago you shit tier kike lol tell your hooknosed bosses to send someone better before your shift ends|{'start': [11, 17], 'end': [13, 18]}|O O O O O O O O O O O B I I O O O B I O O O O O O O O
117|And I urge Mattis to reject the Dems demand . #BuildThatWall #BuildTheWallNow #BuildTheWall|{'start': [10, 11, 12], 'end': [10, 11, 12]}|O O O O O O O O O O B I I
118|23 . the reason that fucking skank ass cunt lied about me was to cover up her shaking my kid , and being in on fucking up lawsuit |{'start': [5, 25], 'end': [8, 25]}|O O O O O B I I I O O O O O O O O O O O O O O O O B O O
119|This is what the streets of the #uk will look like in 10 more years #Brexitnow #stopimmigration|{'start': [16], 'end': [16]}|O O O O O O O O O O O O O O O O B
120|@user you stupid woman ! #mkr|{'start': [5], 'end': [5]}|O O O O O B
121|I beside myself watching these in California A bunch of UNAmericans gathered together in order to spout off #bullshit #GTFO of our Country #Trash #batshitcrazy #UndocumentedIsCriminal #SendThemBack #AmericaFirst #BuildTheWall @user|{'start': [18, 28], 'end': [18, 28]}|O O O O O O O O O O O O O O O O O O B O O O O O O O O O B O
122|@user fuck you raghead|{'start': [1], 'end': [3]}|O B I I
123|We need to eliminate all of those elements from the white race .|{'start': [10], 'end': [10]}|O O O O O O O O O O B O O
124|99% of Muslims in the UK are unemployable and refuse to work.|{'start': [2, 7], 'end': [2, 11]}|O O B O O O O B I I I I
125|@user good one ricky wait till those diesel dykes get hold of her round little ass|{'start': [8, 14], 'end': [8, 15]}|O O O O O O O O B O O O O O B I
126|Bitch wtf u unfollow me for if u just gone twatch me and comment on what u THINK is about u hoe , play with ya pussy or sum not me . |{'start': [0, 26], 'end': [1, 26]}|B I O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O
127|@user shut up bitch no one fucking likes you ! Suck start a shotgun worthless cunt|{'start': [1, 3, 6, 10, 15], 'end': [1, 3, 6, 10, 15]}|O B O B O O B O O O B O O O O B
128|aubrey life is a highway swanson life is a bitch day one|{'start': [9], 'end': [9]}|O O O O O O O O O B O O
129|How is it that no law enforcement entity finds it odd that you can leave the WH dead broke and then buy your Skank daughter a $ 10 million apartment and pay for a $ 3 million wedding . Have the Clintons ever gone back to Haiti ? ? ? #maga #tcot|{'start': [23], 'end': [23]}|O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O
130|@user s bio on here says #BuildThatWall|{'start': [6], 'end': [6]}|O O O O O O B
131|I have no doubt Los Angeles is a cess pool .|{'start': [8], 'end': [8]}|O O O O O O O O B O O
132|kevin friend is a fucking joke of a referee munars|{'start': [4], 'end': [5]}|O O O O B I O O O O
133|lol at @user thinks currynigger monkey cow elephant worshipping streetshitters are taking over the world lol currynigger you re just riding the white mans dick thank u come again|{'start': [4, 9, 16, 16], 'end': [4, 9, 16, 24]}|O O O O B O O O O B O O O O O O B I I I I I I I I O O O O
134|@user the irony is they are the ones whose mothers were raped by m invaders|{'start': [9], 'end': [14]}|O O O O O O O O O B I I I I I
135|get a check and see now these hoes react|{'start': [7], 'end': [7]}|O O O O O O O B O
136|it like a horror movie where the guy turns into a werewolf they look like they are wereniggers transforming into nigger strippers|{'start': [17, 20], 'end': [17, 21]}|O O O O O O O O O O O O O O O O O B O O B I
137|@user Asylum seekers should enter at a LEGAL #USA port of entry & not enter illegally ! Separation only occurs with those breaking American #immigration law ! #WakeUp #Democrats to lies & #WalkAway #MAGA #BuildThatWall|{'start': [15, 34], 'end': [15, 34]}|O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O B
138|This is the argument homosexuals use to justify their behavior , that because there are no ` ` red letters ' ' about it , then homosexuality is not a bad thing . |{'start': [4, 26], 'end': [4, 26]}|O O O O B O O O O O O O O O O O O O O O O O O O O O B O O O O O O
139|@user you had to throw in the faggot word smh smh smh|{'start': [7], 'end': [7]}|O O O O O O O B O O O O
140|you tell a nigga that we just fucking he hit me with the so when u become my bitch boy what|{'start': [3, 18], 'end': [3, 19]}|O O O B O O O O O O O O O O O O O O B I O
141|Somalian immigrants claimed raping to be a part of their culture! We should deport them all!|{'start': [0], 'end': [15]}|B I I I I I I I I I I I I I I I
142|Women want everything to be 50/50 but then they make 100 % of the Ghostbusters FEMALE . wtf ! ! !|{'start': [17], 'end': [17]}|O O O O O O O O O O O O O O O O O B O O O
143|@user ' Getting lit off trays of fucking Molly you mermaid loving slag ' - the only true response to give her|{'start': [7, 12], 'end': [7, 12]}|O O O O O O O B O O O O B O O O O O O O O O
144|fuck them white kids|{'start': [0], 'end': [0]}|B O O O
145|that is absolutely * * * * ing unbelievable.they can just go route one now.no more messing about going through europe.in bongo land one minute jump on the plane and 5 hours later hop off the plane with the biggest negro smile and shout ASYLUM . i am totally depressed hearing this|{'start': [40, 44], 'end': [40, 44]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O B O O O O O O O
146|If someone wrote the Koran to the present day it would not be allowed.|{'start': [4], 'end': [4]}|O O O O B O O O O O O O O O
147|It ' s not a coincidence that they attack in packs and side with the majority on every question ; they ' re people and they know it , ill-suited to standing up alone or thinking through a complex scenario to settle upon an internally consistent position . |{'start': [29], 'end': [29]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O
148|western women use vagina stereo speaker to blast unborn babies with feminist female empowerment musics of negress beyonce hag madonna breasticular katy perries slav expecting mothers enjoy cerebral classical music of tchaikovsky dvorák mussorgsky stravinsky free of vaginal intrusion|{'start': [16, 18], 'end': [16, 18]}|O O O O O O O O O O O O O O O O B O B O O O O O O O O O O O O O O O O O O O O
149|Like it or not , and I certainly do n't , but Ireland , especially NI is littered with memorials to , and even statues of , red terrorists . |{'start': [28], 'end': [28]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O
150|The people are the best because when the Creator made people , He made them better than He made other people . |{'start': [19], 'end': [19]}|O O O O O O O O O O O O O O O O O O O B O O
151|Aren't u one of the low life scum who defends people bringing fentanyl into this country from Mexico ? Sorry , but I won't apologize for being MORE concerned abt the 70,000 ppl dying from drug overdoses than people sneaking into the country illegally #BuildTheWall #BuildThatWall |{'start': [5, 43, 44, 45], 'end': [7, 43, 44, 45]}|O O O O O B I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I
152|Yes I have a job And I'm pretty damn sure u dont make remotely close to what I make a week working 25 hours than what u make working 80 hours so shut the fuck up . I clearly said on the thread I had time yesterday ... whore|{'start': [32, 48], 'end': [35, 48]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I O O O O O O O O O O O O B
153|The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!|{'start': [8], 'end': [10]}|O O O O O O O O B I I O O O O O O O O
